
id,reference,theme
546,Psalm 25:8-10,"Good and upright, guiding the humble"
547,Psalm 31:14-16,My times are in Your hand
548,Psalm 33:4-5,Word of the Lord upright; earth full of His love
549,Psalm 37:7,Be still before the Lord and wait
550,Psalm 39:7,My hope is in You
551,Psalm 57:1-3,Taking refuge in the shadow of Your wings
552,Psalm 61:1-4,Lead me to the rock higher than I
553,Psalm 68:19-20,God daily bears our burdens
554,Psalm 86:5,"Forgiving and good, abounding in love"
555,Psalm 86:11-12,Teach me Your way; unite my heart to fear Your name
556,Psalm 94:22,The Lord my fortress and refuge
557,Psalm 119:9-11,Keeping pure by guarding according to His word
558,Psalm 119:18,Open my eyes to behold wondrous things
559,Psalm 119:105,Your word a lamp to my feet
560,Psalm 130:5-6,I wait for the Lord more than watchmen
561,Psalm 143:8,Let me hear of Your steadfast love in the morning
562,Proverbs 2:6-8,The Lord gives wisdom and guards His saints
563,Proverbs 10:12,Love covers all wrongs
564,Proverbs 13:12,Hope deferred vs. desire fulfilled
565,Proverbs 14:26-27,Fear of the Lord as strong confidence
566,Proverbs 17:9,Love prospers when a fault is covered
567,Proverbs 19:17,Kindness to the poor is lending to the Lord
568,Proverbs 21:21,Pursue righteousness and love; find life
569,Proverbs 25:11,A word fitly spoken is like apples of gold
570,Proverbs 29:18,"Where there is no vision, people perish"
571,Ecclesiastes 4:9-12,Two are better than one; cord not easily broken
572,Isaiah 32:17,Righteousness brings peace and quietness
573,Isaiah 33:2,Be our strength every morning
574,Isaiah 40:10-11,Shepherd gently leads those with young
575,Isaiah 42:3,A bruised reed He will not break
576,Isaiah 49:6,Light for the nations to the ends of the earth
577,Isaiah 52:7,Beautiful feet that bring good news
578,Isaiah 57:15,High and holy One revives the contrite
579,Isaiah 61:1-3,Good news to the poor and brokenhearted
580,Jeremiah 15:16,Your words were my joy and heart's delight
581,Jeremiah 24:7,Hearts to know Me; they shall be My people
582,Jeremiah 32:40,"Everlasting covenant, doing them good"
583,Lamentations 3:31-33,He does not afflict from His heart
584,Ezekiel 34:11-12,I Myself will search for My sheep
585,Ezekiel 34:15-16,I will feed My flock and bind up the injured
586,Daniel 2:20-22,Wisdom and power belong to God
587,Daniel 10:19,"Greatly loved, be strong and of good courage"
588,Hosea 2:19-20,Betrothal in righteousness and steadfast love
589,Hosea 11:3-4,"Cords of kindness, bands of love"
590,Joel 3:16,The Lord a refuge to His people
591,Amos 4:13,He who forms mountains and declares to man His thoughts
592,Obadiah 1:17,Deliverance on Mount Zion
593,Jonah 2:1-2,Calling out to the Lord from distress
594,Jonah 2:7-9,Salvation belongs to the Lord
595,Micah 7:7-8,I will look to the Lord and rise again
596,Micah 7:18-19,Delighting in steadfast love and casting sins away
597,Haggai 2:4-5,"Be strong, I am with you"
598,Zechariah 9:9,Your King comes humble and riding on a donkey
599,Zechariah 9:11-12,Prisoners of hope restored
600,Malachi 1:11,My name great among the nations
601,Matthew 4:19,Follow Me and I will make you fishers of men
602,Matthew 8:2-3,Jesus willing and able to cleanse
603,Matthew 9:27-29,According to your faith be it done
604,Matthew 13:33,Kingdom like leaven working through dough
605,Matthew 17:20,Faith like a mustard seed moves mountains
606,Matthew 21:21-22,Ask in faith without doubting
607,Matthew 25:21,"Well done, good and faithful servant"
608,Matthew 26:39,Not My will but Yours be done
609,Mark 1:35,Jesus prays in a solitary place
610,Mark 9:24,I believe; help my unbelief
611,Mark 12:32-34,You are not far from the kingdom of God
612,Mark 14:36,"Abba, not what I will but what You will"
613,Luke 1:37,Nothing will be impossible with God
614,Luke 5:31-32,I came to call sinners to repentance
615,Luke 8:50,Do not fear; only believe
616,Luke 9:11,"He welcomed, taught, and healed the crowds"
617,Luke 12:29-31,Seek His kingdom; He knows your needs
618,Luke 15:8-10,Joy in heaven over one sinner who repents
619,Luke 23:34,"Father, forgive them"
620,John 3:19-21,Light has come; come to the light
621,John 4:23-24,Worship in Spirit and in truth
622,John 6:40,Everyone who looks to the Son has eternal life
623,John 10:11,The good shepherd lays down His life
624,John 10:16,One flock and one shepherd
625,John 12:46,I have come as light into the world
626,John 14:23,We will make our home with those who love Me
627,John 17:11,Keep them in Your name that they may be one
628,John 17:24,I desire they be with Me to see My glory
629,Acts 1:14,All joined together constantly in prayer
630,Acts 2:21,Everyone who calls on the Lord will be saved
631,Acts 4:13,Recognized as having been with Jesus
632,Acts 11:23,Encouraged them to remain true to the Lord
633,Acts 13:47,A light to the Gentiles to bring salvation
634,Acts 14:21-22,Strengthening disciples to endure many tribulations
635,Acts 17:11,Examining the Scriptures daily
636,Acts 20:35,More blessed to give than to receive
637,Acts 27:23-25,"Take heart, for I have faith in God"
638,Romans 1:5,Received grace to bring about obedience of faith
639,Romans 5:9,"Justified by His blood, saved from wrath"
640,Romans 8:18,Present sufferings vs. future glory
641,Romans 12:9,Love must be sincere; hate what is evil
642,Romans 13:11-12,Wake from sleep; salvation nearer now
643,Romans 14:8,"Whether we live or die, we are the Lord's"
644,Romans 15:4,"Scriptures give endurance, encouragement, and hope"
645,1 Corinthians 2:9,What God has prepared for those who love Him
646,1 Corinthians 4:20,"Kingdom of God in power, not talk"
647,1 Corinthians 11:1,Imitate me as I imitate Christ
648,1 Corinthians 15:49,Bear the image of the man of heaven
649,2 Corinthians 1:20,All God's promises are Yes in Christ
650,2 Corinthians 4:1,We do not lose heart in this ministry
651,2 Corinthians 4:8-10,"Pressed but not crushed, carrying Jesus’ death"
652,2 Corinthians 5:7,"We walk by faith, not by sight"
653,2 Corinthians 9:10-11,Enriched in every way to be generous
654,2 Corinthians 13:14,"Grace, love, and fellowship benediction"
655,Galatians 2:21,Do not set aside grace; law cannot save
656,Galatians 3:13,Christ redeemed us from the curse of the law
657,Galatians 4:19,Christ formed in you
658,Galatians 6:14,Boast only in the cross of Christ
659,Ephesians 1:4-5,"Chosen in love, predestined for adoption"
660,Ephesians 1:17-19,Spirit of wisdom to know Him better
661,Ephesians 2:13,Brought near by the blood of Christ
662,Ephesians 5:14,"Awake, sleeper, and Christ will shine on you"
663,Ephesians 6:18,Pray in the Spirit on all occasions
664,Philippians 2:16,Hold fast to the word of life
665,Philippians 3:20-21,"Citizens of heaven, transformed bodies"
666,Colossians 1:9,Praying to be filled with the knowledge of His will
667,Colossians 1:27,"Christ in you, the hope of glory"
668,Colossians 2:2-3,"Encouraged hearts, riches of knowing Christ"
669,Colossians 4:5,Walk in wisdom toward outsiders
670,1 Thessalonians 2:13,Receive the word as God's word
671,1 Thessalonians 4:9-10,Taught by God to love one another
672,2 Thessalonians 1:3,Faith growing; love increasing
673,1 Timothy 2:5,"One God and one mediator, Christ Jesus"
674,1 Timothy 4:10,We toil because we hope in the living God
675,1 Timothy 6:12,Fight the good fight of the faith
676,2 Timothy 1:12,He is able to guard what I entrust
677,2 Timothy 2:3,Share in suffering as a good soldier
678,2 Timothy 2:15,Rightly handling the word of truth
679,Titus 2:7-8,Show integrity and soundness in teaching
680,Titus 3:8,Devote yourselves to good works
681,Philemon 1:20,Refresh my heart in Christ
682,Hebrews 1:3,"Radiance of God's glory, sustaining all things"
683,Hebrews 2:18,Able to help those who are tempted
684,Hebrews 3:1,Fix your thoughts on Jesus
685,Hebrews 4:12,Word of God living and active
686,Hebrews 6:10,God will not forget your work and love
687,Hebrews 10:14,By one offering He perfected forever
688,Hebrews 11:6,Without faith it is impossible to please God
689,Hebrews 12:28-29,Grateful for an unshakable kingdom
690,Hebrews 13:20-21,God equip you with everything good
691,James 1:12,Blessed is the one who perseveres under trial
692,James 2:5,"Poor in the world, rich in faith"
693,James 4:6,God opposes the proud but gives grace
694,James 5:7-8,Be patient; the Lord's coming is near
695,1 Peter 1:6-7,Trials refine faith more precious than gold
696,1 Peter 2:24,By His wounds you have been healed
697,1 Peter 3:18,Christ suffered to bring us to God
698,1 Peter 4:10-11,Use your gifts so God is glorified
699,2 Peter 3:18,Grow in the grace and knowledge of Christ
700,1 John 2:7-8,Old yet new commandment: love one another
701,1 John 3:23,Believe in His Son and love one another
702,1 John 4:4,He who is in you is greater
703,Jude 1:3,Contend for the faith once delivered
704,Revelation 2:7,"To the overcomer, eat of the tree of life"
705,Revelation 2:17,Hidden manna and a new name
706,Revelation 3:5,Clothed in white; name confessed before the Father
707,Revelation 5:12,Worthy is the Lamb who was slain
708,Revelation 14:12-13,Endurance of the saints and blessed rest
709,Revelation 21:6-7,To the thirsty I give the water of life
710,Genesis 3:8-9,Where are you? God seeking humanity
711,Genesis 15:1,Do not fear; I am your shield and reward
712,Genesis 18:14,Is anything too hard for the Lord?
713,Genesis 45:4-8,God sent me ahead to preserve life
714,Exodus 2:23-25,"God hears, remembers, sees, and knows"
715,Exodus 13:21-22,Pillar of cloud and fire leading them
716,Exodus 23:20,Angel sent ahead to guard you
717,Leviticus 26:12,I will walk among you and be your God
718,Numbers 6:22-23,Blessing pattern for God's people
719,Deuteronomy 1:29-31,The Lord carries you as a father
720,Deuteronomy 32:3-4,Proclaim the greatness of the Rock
721,Joshua 22:5,Love the Lord and walk in His ways
722,Judges 5:31,Those who love Him like the sun in its strength
723,Ruth 4:14-15,The Lord has not left you without a redeemer
724,1 Samuel 15:22,To obey is better than sacrifice
725,2 Samuel 22:29,"You, Lord, turn my darkness into light"
726,1 Kings 2:3,Walk in His ways and prosper
727,2 Kings 19:15,You alone are God over all kingdoms
728,1 Chronicles 28:9,Serve Him with wholehearted devotion
729,2 Chronicles 15:2,The Lord is with you when you are with Him
730,Ezra 3:11,He is good; His love endures forever
731,Nehemiah 9:17,"Gracious, compassionate, abounding in love"
732,Esther 8:16,"Joy, gladness, and honor for God's people"
733,Job 5:8-11,He sets the lowly on high
734,Job 42:2,No purpose of Yours can be thwarted
735,Psalm 5:11-12,Let all who take refuge in You rejoice
736,Psalm 11:4,"The Lord in His holy temple, observing"
737,Psalm 16:2,I have no good apart from You
738,Psalm 20:7,We trust in the name of the Lord our God
739,Psalm 27:8,"My heart says, Seek His face"
740,Psalm 30:5,Weeping lasts the night; joy in the morning
741,Psalm 37:8-9,Refrain from anger; those who hope inherit the land
742,Psalm 71:20-21,You will restore my life again
743,Psalm 86:15,"Gracious, compassionate, abounding in love"
744,Psalm 95:6-7,"Come, let us bow down before our Maker"
745,Psalm 107:1-2,Give thanks; let the redeemed tell their story
746,Psalm 112:7,No fear of bad news; heart steadfast
747,Psalm 116:12-13,What shall I return for all His goodness?
748,Psalm 139:23-24,"Search me, know me, and lead me"
749,Proverbs 8:17,Those who seek Me diligently find Me
750,Proverbs 11:30,The fruit of the righteous a tree of life
751,Proverbs 14:31,Kindness to the needy honors God
752,Proverbs 18:21,Power of life and death in the tongue
753,Proverbs 20:7,Integrity of the righteous blesses children
754,Proverbs 23:26,"My son, give Me your heart"
755,Proverbs 28:1,The righteous are bold as a lion
756,Proverbs 29:25,Fear of man a snare; trust in the Lord safe
757,Ecclesiastes 7:14,God made both prosperity and adversity
758,Ecclesiastes 9:10,Do with all your might what your hand finds
759,Song of Songs 2:4,His banner over me is love
760,Isaiah 12:3,With joy draw water from the wells of salvation
761,Isaiah 25:8-9,He will swallow up death forever
762,Isaiah 30:21,This is the way; walk in it
763,Isaiah 43:4,You are precious and honored in My sight
764,Isaiah 44:3,I will pour water and My Spirit on your offspring
765,Isaiah 45:22,"Turn to Me and be saved, all the earth"
766,Isaiah 50:4,Tongue to sustain the weary with a word
767,Isaiah 58:10-11,Spend yourself for the hungry; He will guide you
768,Isaiah 66:1-2,I esteem the humble and contrite in spirit
769,Jeremiah 6:16,Ask for the ancient paths and walk in them
770,Jeremiah 9:23-24,Boast in understanding and knowing the Lord
771,Jeremiah 31:31-33,New covenant written on hearts
772,Jeremiah 33:3,Call to Me and I will answer
773,Lamentations 3:40-41,Let us examine our ways and return to the Lord
774,Ezekiel 18:23,God takes no pleasure in the death of the wicked
775,Ezekiel 37:4-6,"Dry bones, hear the word of the Lord"
776,Daniel 7:13-14,Son of Man given everlasting dominion
777,Hosea 14:1-2,Return to the Lord with words of repentance
778,Joel 2:21,Do not fear; the Lord has done great things
779,Jonah 4:2,"God gracious and compassionate, relenting from disaster"
780,Micah 4:1-4,Nations streaming to learn His ways
781,Nahum 1:15,"Good news, feet of one who brings peace"
782,Habakkuk 1:5,Look and be amazed at what I am doing
783,Zephaniah 2:3,"Seek the Lord, righteousness, and humility"
784,Haggai 1:7-8,Consider your ways and build the house
785,Zechariah 2:10-11,I am coming and will live among you
786,Zechariah 8:16-17,Speak truth and love no false oath
787,Malachi 2:5-6,"Covenant of life and peace, walking in reverence"
788,Malachi 3:16-17,Those who fear the Lord are His treasured possession
789,Matthew 5:6,Blessed are those who hunger and thirst for righteousness
790,Matthew 5:9,Blessed are the peacemakers
791,Matthew 5:16,Let your light shine before others
792,Matthew 6:33,Seek first the kingdom and His righteousness
793,Mark 2:5,"Son, your sins are forgiven"
794,Luke 24:32,Hearts burning as He opened the Scriptures
795,John 15:11,"My joy in you, that your joy may be full"
796,Acts 11:21,A great number believed and turned to the Lord
797,Romans 15:30,Strive together with me in prayer
798,1 Corinthians 3:7,God is the one who gives the growth
799,Colossians 3:4,"When Christ appears, you will appear with Him in glory"
800,1 Peter 1:8-9,You love Him without seeing and rejoice in salvation
801,Matthew 2:6,A ruler who will shepherd My people
802,Matthew 3:11,He will baptize you with the Holy Spirit and fire
803,Matthew 5:4,"Blessed are those who mourn, for they will be comforted"
804,Matthew 5:7,"Blessed are the merciful, they will be shown mercy"
805,Matthew 5:10,Blessed are those persecuted for righteousness
806,Matthew 5:20,Righteousness surpassing that of the Pharisees
807,Matthew 6:3-4,"Give in secret, and your Father will reward you"
808,Matthew 6:6,Pray in secret to your Father who sees
809,Matthew 6:22-23,The eye the lamp of the body
810,Matthew 7:12,The golden rule of love
811,Matthew 8:26,"Why are you afraid, O you of little faith?"
812,Matthew 9:35,"Jesus preaching, teaching, and healing"
813,Matthew 10:29-30,Even the hairs of your head are numbered
814,Matthew 11:25-26,Revealed to little children
815,Matthew 12:50,Whoever does God's will is My family
816,Matthew 13:8-9,Good soil yielding abundant harvest
817,Matthew 15:8-9,"Worship from the heart, not just lips"
818,Matthew 16:16,"You are the Christ, the Son of the living God"
819,Matthew 18:3-4,Become like little children to enter the kingdom
820,Matthew 19:14,Let the little children come to Me
821,Matthew 20:16,"The last will be first, and the first last"
822,Matthew 23:11-12,The greatest among you will be your servant
823,Matthew 24:13,The one who endures to the end will be saved
824,Matthew 26:41,Watch and pray that you may not enter temptation
825,Mark 4:20,"Those who hear, accept, and bear fruit"
826,Mark 8:34,Take up your cross and follow Me
827,Mark 9:41,Reward for the smallest act done in His name
828,Mark 10:14,"Let the children come to Me, do not hinder them"
829,Mark 16:20,"The Lord working with them, confirming the word"
830,Luke 1:68-69,"Blessed be the Lord, who has raised a horn of salvation"
831,Luke 2:19,Mary treasured and pondered these things in her heart
832,Luke 2:40,"The child grew strong, filled with wisdom"
833,Luke 3:21-22,Father's voice of love over the Son
834,Luke 6:31,Treat others as you wish to be treated
835,Luke 6:46-48,Foundation on the rock by obeying His words
836,Luke 7:9,Faith that amazes Jesus
837,Luke 7:13,The Lord saw her and had compassion
838,Luke 9:10-11,"Jesus welcomes, teaches, and heals"
839,Luke 11:2,"Father, hallowed be Your name, Your kingdom come"
840,Luke 13:18-19,Kingdom like a mustard seed becoming a tree
841,Luke 15:20,Father runs to embrace the returning son
842,Luke 18:9-14,"Justified by humble repentance, not pride"
843,Luke 21:33,"Heaven and earth pass away, His words never"
844,Luke 22:31-32,I have prayed for you that your faith may not fail
845,John 1:16,From His fullness we have received grace upon grace
846,John 2:17,Zeal for Your house will consume Me
847,John 4:35,Fields are white for harvest
848,John 7:17,Those who want to do God's will will know
849,John 8:10-11,Neither do I condemn you; go and sin no more
850,John 12:32,I will draw all people to Myself
851,John 15:2,Pruned to bear even more fruit
852,John 15:16,Chosen and appointed to bear lasting fruit
853,John 17:15,Keep them from the evil one
854,John 20:31,Written that you may believe and have life
855,Acts 3:6,"In the name of Jesus Christ, rise and walk"
856,Acts 4:31,Filled with the Spirit and spoke the word boldly
857,Acts 9:31,"Church built up, walking in fear of the Lord"
858,Acts 13:52,Disciples filled with joy and the Holy Spirit
859,Acts 15:8-9,God cleansed their hearts by faith
860,Acts 18:9-10,"Do not be afraid, for I am with you"
861,Acts 28:30-31,Proclaiming the kingdom with boldness and without hindrance
862,Romans 2:6-7,God repays those who seek glory and immortality
863,Romans 4:7-8,Blessed whose sins are covered
864,Romans 7:24-25,"Wretched man, thanks be to God through Jesus"
865,Romans 8:11,Spirit who raised Jesus gives life to your mortal bodies
866,Romans 11:29,God's gifts and call are irrevocable
867,Romans 14:13,Resolve not to put stumbling blocks before others
868,Romans 14:19,Pursue what makes for peace and mutual upbuilding
869,Romans 16:19-20,Be wise about what is good; God crushes Satan
870,1 Corinthians 1:4-5,Enriched in Christ in all speech and knowledge
871,1 Corinthians 6:20,"You were bought at a price, glorify God"
872,1 Corinthians 9:19,Freedom used to become a servant to all
873,1 Corinthians 12:25-26,"Care for one another, suffer and rejoice together"
874,1 Corinthians 16:9,A wide door for effective work has opened
875,2 Corinthians 1:3,Father of mercies and God of all comfort
876,2 Corinthians 3:5,Our sufficiency is from God
877,2 Corinthians 4:13,"I believed, therefore I spoke"
878,2 Corinthians 6:16,God’s temple; He dwells among His people
879,2 Corinthians 7:10,Godly grief leads to repentance and salvation
880,2 Corinthians 8:3-4,Joy and poverty overflowed in rich generosity
881,Galatians 1:10,"Pleasing God, not people"
882,Galatians 3:11,The righteous will live by faith
883,Galatians 4:6,"Spirit of His Son crying Abba, Father"
884,Galatians 5:24-25,Crucified the flesh; live by the Spirit
885,Galatians 6:10,"Do good to all, especially the household of faith"
886,Ephesians 1:11,Predestined according to His purpose
887,Ephesians 2:1-3,"Once dead in sins, walking according to the world"
888,Ephesians 3:12,Boldness and access with confidence through faith
889,Ephesians 4:13,Unity in the faith and knowledge of the Son
890,Ephesians 5:19-20,"Sing and make melody, giving thanks always"
891,Philippians 1:27,Conduct worthy of the gospel of Christ
892,Philippians 2:2,Be of the same mind and love
893,Philippians 3:1,Rejoice in the Lord; safeguard for you
894,Philippians 4:1,"Stand firm in the Lord, beloved"
895,Colossians 1:10,"Walk worthy, bearing fruit in every good work"
896,Colossians 2:13-14,"Dead in sins, made alive, debt canceled"
897,Colossians 3:1,Seek the things that are above
898,Colossians 3:9-10,Put off the old self; put on the new
899,1 Thessalonians 2:4,"Approved by God, entrusted with the gospel"
900,1 Thessalonians 5:4,You are not in darkness for the day to surprise you
901,2 Thessalonians 2:13,Chosen for salvation through sanctification
902,1 Timothy 1:5,Aim of our charge: love from pure heart
903,1 Timothy 3:16,Great mystery of godliness: God manifested in flesh
904,1 Timothy 6:18,"Do good, be rich in good works and generosity"
905,2 Timothy 1:6,Fan into flame the gift of God
906,2 Timothy 4:5,"Keep your head, endure, do the work of an evangelist"
907,Titus 1:2-3,Hope of eternal life promised before ages
908,Titus 2:4-5,Older teaching younger to love and be self-controlled
909,Hebrews 10:10,Sanctified by Christ's once-for-all offering
910,Hebrews 10:24,Consider how to stir up one another
911,Hebrews 12:5-6,The Lord disciplines those He loves
912,Hebrews 13:3,Remember those in prison and mistreated
913,James 1:9-10,"Lowly boast in exaltation, rich in humiliation"
914,James 1:27,Pure religion: care for orphans and widows
915,James 5:19-20,Turning a sinner from wandering saves a soul
916,1 Peter 1:18-19,Redeemed by the precious blood of Christ
917,1 Peter 2:2-3,Crave the pure spiritual milk
918,1 Peter 2:21,Christ suffered as an example to follow
919,1 Peter 4:12-13,Rejoice when sharing Christ’s sufferings
920,2 Peter 1:2,Grace and peace multiplied through knowing God
921,1 John 2:1,We have an advocate with the Father
922,1 John 2:28,Abide in Him and have confidence at His coming
923,1 John 4:1,"Test the spirits, whether from God"
924,2 John 1:4,Joy at children walking in truth
925,3 John 1:5-6,Faithful service to brothers and strangers
926,Revelation 1:5-6,Freed us from sins and made us a kingdom
927,Revelation 3:8,I have set before you an open door
928,Revelation 7:15-17,He will shelter them and wipe every tear
929,Revelation 19:11-13,Faithful and True riding in righteousness
930,Revelation 22:12,My reward is with Me
931,Genesis 6:8,Noah found favor in the eyes of the Lord
932,Genesis 17:7,Everlasting covenant to be God to you
933,Genesis 24:27,The Lord led me on the right way
934,Genesis 39:2-3,The Lord was with Joseph and prospered him
935,Exodus 4:11-12,Who made man's mouth? I will be with you
936,Exodus 14:31,They feared the Lord and believed in Him
937,Exodus 33:18-19,Show me Your glory; I will proclaim My name
938,Leviticus 20:7-8,Consecrate yourselves and be holy
939,Numbers 14:18,"Slow to anger, abounding in love, forgiving"
940,Deuteronomy 4:7,God so near whenever we call on Him
941,Deuteronomy 7:9,Faithful God keeping covenant of love
942,Deuteronomy 10:17-18,"God of gods, cares for the fatherless and widow"
943,Joshua 21:45,Not one of all the Lord’s promises failed
944,Judges 6:23-24,"Peace; do not fear, you shall not die"
945,Ruth 2:20,The Lord has not stopped showing kindness
946,1 Samuel 7:12,Ebenezer: Thus far the Lord has helped us
947,1 Samuel 12:24,"Serve Him faithfully, consider what He has done"
948,2 Samuel 7:28,"Your words are true, You promised good"
949,1 Kings 19:5-7,An angel strengthens the weary prophet
950,2 Kings 20:5,I have heard your prayer and seen your tears
951,1 Chronicles 16:34,"Give thanks, His love endures forever"
952,2 Chronicles 30:9,Return to the Lord; He is gracious and compassionate
953,Ezra 8:31,Hand of our God was on us
954,Nehemiah 6:9,Strengthen my hands
955,Esther 2:17,She won favor and grace in his sight
956,Job 5:17,Blessed is the one God corrects
957,Job 22:21,Agree with God and be at peace
958,Job 33:4,The Spirit of God has made me
959,Psalm 1:6,The Lord watches over the way of the righteous
960,Psalm 18:19,He rescued me because He delighted in me
961,Psalm 22:24,He has not despised the afflicted
962,Psalm 31:19,How great is Your goodness stored up
963,Psalm 36:7-9,Feast on abundance of Your house
964,Psalm 40:8,I delight to do Your will
965,Psalm 55:16-17,I call to God; He hears my voice
966,Psalm 63:7-8,You have been my help; I cling to You
967,Psalm 84:5,Blessed are those whose strength is in You
968,Psalm 89:1,I will sing of the steadfast love of the Lord
969,Psalm 97:11-12,Light shines for the righteous
970,Psalm 116:5-6,"The Lord gracious, righteous, preserves the simple"
971,Psalm 118:14,The Lord my strength and my song
972,Psalm 121:7,The Lord will keep you from all harm
973,Psalm 138:8,The Lord will fulfill His purpose for me
974,Proverbs 3:7,Fear the Lord and turn from evil
975,Proverbs 4:18,Path of the righteous like the morning sun
976,Proverbs 10:9,Whoever walks in integrity walks securely
977,Proverbs 13:20,Walk with the wise and become wise
978,Proverbs 15:13,Joyful heart makes a cheerful face
979,Proverbs 16:20,Trust in the Lord; blessed is he
980,Proverbs 24:3-4,By wisdom a house is built and filled
981,Proverbs 27:1,Do not boast about tomorrow
982,Ecclesiastes 5:1-2,Draw near to listen rather than to speak hastily
983,Ecclesiastes 12:13,Fear God and keep His commandments
984,Song of Songs 2:10-13,"Arise, My love; winter is past"
985,Isaiah 8:17,I will wait for the Lord
986,Isaiah 26:8,Your name and renown are the desire of our hearts
987,Isaiah 30:18,The Lord longs to be gracious to you
988,Isaiah 41:13,I hold your right hand; fear not
989,Isaiah 51:11,Gladness and joy will overtake them
990,Isaiah 55:10-11,My word will not return void
991,Isaiah 63:7,I will recount the steadfast love of the Lord
992,Jeremiah 3:22,"Return, faithless children; I will heal your backsliding"
993,Jeremiah 17:10,I the Lord search the heart and test the mind
994,Jeremiah 32:27,I am the Lord; is anything too hard for Me?
995,Lamentations 5:21,"Restore us to Yourself, O Lord"
996,Ezekiel 36:28,"You shall be My people, and I will be your God"
997,Daniel 9:18-19,"We do not present pleas because of righteousness, but mercy"
998,Hosea 10:12,"Sow righteousness, reap steadfast love"
999,Micah 5:2,From Bethlehem will come a ruler
1000,Zephaniah 3:14-15,Shout for joy; the Lord has taken away your judgments
1001,Matthew 1:23,"Immanuel, God with us"
1002,Matthew 4:16,People in darkness see a great light
1003,Matthew 5:5,Blessed are the meek; they will inherit the earth
1004,Matthew 5:13,You are the salt of the earth
1005,Matthew 5:39,Turn the other cheek
1006,Matthew 5:44,Love your enemies and pray for persecutors
1007,Matthew 6:8,Your Father knows what you need
1008,Matthew 6:10,"Your kingdom come, Your will be done"
1009,Matthew 6:24,Cannot serve God and money
1010,Matthew 7:1-2,"Do not judge, or you will be judged"
1011,Matthew 7:7,"Ask, seek, knock"
1012,Matthew 7:14,Narrow is the way that leads to life
1013,Matthew 8:10,I have not found such great faith
1014,Matthew 8:17,He took our infirmities and bore our diseases
1015,Matthew 9:36,Compassion on the harassed and helpless
1016,Matthew 10:32,"Whoever acknowledges Me, I will acknowledge"
1017,Matthew 10:39,Whoever loses his life for My sake finds it
1018,Matthew 12:12,People more valuable than sheep
1019,Matthew 13:52,Treasures new and old from the kingdom
1020,Matthew 18:20,Where two or three gather in My name
1021,Matthew 19:21,"Sell, give to the poor, and follow Me"
1022,Matthew 24:42,"Keep watch, you do not know the day"
1023,Matthew 26:13,Gospel told in memory of a costly act of love
1024,Matthew 28:5-6,He is not here; He has risen
1025,Mark 1:14-15,Repent and believe the good news
1026,Mark 2:27,"Sabbath made for man, not man for Sabbath"
1027,Mark 3:35,Whoever does God's will is My family
1028,Mark 6:34,Compassion on the sheep without a shepherd
1029,Mark 8:29,You are the Christ
1030,Mark 12:17,"Give to Caesar what is Caesar's, to God what is God's"
1031,Mark 12:43-44,She gave all she had to live on
1032,Mark 13:31,My words will never pass away
1033,Luke 1:49-50,He who is mighty has done great things
1034,Luke 2:28-32,Light for revelation to the Gentiles
1035,Luke 3:4-6,Prepare the way of the Lord
1036,Luke 4:43,I must preach the good news of the kingdom
1037,Luke 6:36,"Be merciful, just as your Father is merciful"
1038,Luke 7:16,God has visited His people
1039,Luke 8:21,Those who hear and do God's word are My family
1040,Luke 9:62,No looking back once hand is to the plow
1041,Luke 11:13,Father gives the Holy Spirit to those who ask
1042,Luke 12:32-34,"Where your treasure is, your heart will be also"
1043,Luke 13:24,Strive to enter through the narrow door
1044,Luke 14:11,Everyone who exalts himself will be humbled
1045,Luke 17:10,We are unworthy servants; we have only done our duty
1046,Luke 19:9-10,Today salvation has come to this house
1047,Luke 24:45-47,Mind opened to understand the Scriptures
1048,John 1:9,True light that gives light to everyone
1049,John 1:29,Behold the Lamb of God who takes away sin
1050,John 3:30,"He must increase, I must decrease"
1051,John 4:24,God is Spirit; worship in spirit and truth
1052,John 5:19,The Son does only what He sees the Father doing
1053,John 6:27,Work for food that endures to eternal life
1054,John 7:38,Rivers of living water from within
1055,John 8:36,"If the Son sets you free, you are free indeed"
1056,John 9:25,"Once I was blind, now I see"
1057,John 10:3-4,He calls His own sheep by name
1058,John 12:26,Whoever serves Me must follow Me
1059,John 13:17,Blessed if you do what you know
1060,John 14:1,Do not let your hearts be troubled
1061,John 15:9,"As the Father has loved Me, so I have loved you"
1062,John 16:13,The Spirit guides you into all truth
1063,John 17:17,Sanctify them by the truth; Your word is truth
1064,John 18:36,My kingdom is not of this world
1065,John 19:30,It is finished
1066,Acts 1:9-11,"Jesus taken up, promise He will return"
1067,Acts 2:4,All filled with the Holy Spirit
1068,Acts 2:42,"Devoted to teaching, fellowship, breaking bread, prayer"
1069,Acts 3:19,"Repent and turn, that times of refreshing may come"
1070,Acts 8:4,Those scattered preached the word everywhere
1071,Acts 8:35,"Beginning from Scripture, he told him the good news"
1072,Acts 10:43,Everyone who believes receives forgiveness
1073,Acts 13:38-39,Forgiveness and justification through Jesus
1074,Acts 16:9-10,Vision of a man calling for help
1075,Acts 17:30-31,God commands all to repent; He has fixed a day
1076,Acts 20:28,Shepherd the church bought with His own blood
1077,Acts 26:22-23,"Christ would suffer and rise, bring light"
1078,Romans 1:1-2,Set apart for the gospel promised beforehand
1079,Romans 1:20,God's invisible qualities clearly seen in creation
